sigma,method,complete_sigma,mse,psnr,ssim
5,median,True,145.62908172607422,29.015746691694503,0.7108893684753909
5,bilateral,True,10.814486468279803,37.84144902326625,0.9531789619777606
5,nlm,True,16.02357030797888,36.16426383872067,0.9384547720440496
5,bm3d,True,14.45155617042824,36.82070636723775,0.9477103899952252
10,median,True,159.1414667765299,28.005936935776358,0.6581708157408964
10,bilateral,True,30.270472208658855,33.470537914729896,0.8809276585682988
10,nlm,True,42.6248313056098,32.08203998142299,0.8601418188208684
10,bm3d,True,41.00092160260236,32.553789595803806,0.8604389570931061
15,median,False,188.54212315877282,26.994856309196038,0.5793776052173629
15,bilateral,False,53.63194868299696,31.128840537135154,0.8095448902264134
